Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0026, 873, 16384, 16384, 0.454648, 0.073868, 0.609375, 0.328125, 29, 4.72755, 39, 21, 0.0343517, 0.0297169, 0.27198, 0.0107159
30.0216, 787, 16384, 16384, 0.409601, 0.065319, 0.515625, 0.296875, 26, 4.18041, 33, 19, 0.0381314, 0.0365551, 0.254211, 0.00988302
30.038, 852, 16384, 16384, 0.443189, 0.0955717, 0.625, 0.203125, 28, 6.11659, 40, 13, 0.0352408, 0.0329847, 0.248093, 0.0122046
30.0086, 866, 16384, 16384, 0.450912, 0.0659198, 0.5625, 0.3125, 28, 4.21887, 36, 20, 0.0346365, 0.0302387, 0.237124, 0.0123987
30.0349, 874, 16384, 16384, 0.454679, 0.076475, 0.640625, 0.34375, 29, 4.8944, 41, 22, 0.0343493, 0.031118, 0.239745, 0.011362
30.0161, 834, 16384, 16384, 0.434141, 0.0650973, 0.515625, 0.3125, 27, 4.16623, 33, 20, 0.0359753, 0.0357471, 0.432202, 0.0112987
30.0102, 876, 16384, 16384, 0.456094, 0.0818697, 0.609375, 0.3125, 29, 5.23966, 39, 20, 0.0342425, 0.0310046, 0.236055, 0.0117029
30.0045, 830, 16384, 16384, 0.432227, 0.0845069, 0.625, 0.25, 27, 5.40844, 40, 16, 0.0361344, 0.0359388, 0.226381, 0.0120706
30.0197, 898, 16384, 16384, 0.467401, 0.0741272, 0.578125, 0.34375, 29, 4.74414, 37, 22, 0.0334142, 0.031715, 0.297268, 0.0108943
30.0194, 829, 32768, 32768, 0.862982, 0.194309, 1.21875, 0.53125, 27, 6.21788, 39, 17, 0.0361957, 0.0340248, 0.329222, 0.0121916
30.0658, 860, 32768, 32768, 0.893874, 0.180636, 1.3125, 0.53125, 28, 5.78037, 42, 17, 0.0349444, 0.03242, 0.24151, 0.012584
30.0063, 727, 32768, 32768, 0.757133, 0.208003, 1.09375, 0.1875, 24, 6.65608, 35, 6, 0.041258, 0.0485995, 0.481481, 0.0109654
30.0041, 861, 32768, 32768, 0.896754, 0.137385, 1.21875, 0.625, 28, 4.39632, 39, 20, 0.0348329, 0.0321894, 0.258069, 0.0112549
30.0668, 868, 32768, 32768, 0.902157, 0.154919, 1.21875, 0.46875, 28, 4.9574, 39, 15, 0.0346238, 0.0322812, 0.269853, 0.0114949
30.028, 811, 32768, 32768, 0.844004, 0.133342, 1.09375, 0.53125, 27, 4.26695, 35, 17, 0.0370105, 0.0361447, 0.253813, 0.0133085
30.011, 848, 32768, 32768, 0.883009, 0.149911, 1.25, 0.5625, 28, 4.79715, 40, 18, 0.0353741, 0.0323179, 0.265517, 0.0110611
30.0194, 871, 32768, 32768, 0.906705, 0.159766, 1.1875, 0.59375, 29, 5.11253, 38, 19, 0.0344496, 0.0324397, 0.238488, 0.0122941
30.0145, 863, 32768, 32768, 0.898524, 0.172327, 1.21875, 0.53125, 28, 5.51445, 39, 17, 0.0347638, 0.0315314, 0.254059, 0.0121345
30.0016, 674, 65536, 65536, 1.40409, 0.241066, 1.75, 0.875, 22, 3.85705, 28, 14, 0.044497, 0.0321383, 0.241435, 0.0203865
30.0189, 664, 65536, 65536, 1.38246, 0.21981, 1.625, 0.8125, 22, 3.51695, 26, 13, 0.0451937, 0.0347679, 0.308492, 0.0195379
30.025, 684, 65536, 65536, 1.42381, 0.183274, 1.8125, 1.0625, 22, 2.93238, 29, 17, 0.0438795, 0.0299499, 0.223696, 0.0171908
30.0376, 644, 65536, 65536, 1.33999, 0.290698, 1.8125, 0.75, 21, 4.65116, 29, 12, 0.046626, 0.0377477, 0.249665, 0.0177701
30.007, 678, 65536, 65536, 1.41217, 0.216309, 1.8125, 1, 22, 3.46095, 29, 16, 0.044242, 0.0319038, 0.242504, 0.0182863
30.0092, 709, 65536, 65536, 1.47663, 0.218735, 1.875, 1.0625, 23, 3.49975, 30, 17, 0.0423104, 0.0298814, 0.261449, 0.01801
30.0327, 706, 65536, 65536, 1.46923, 0.234859, 1.875, 1, 23, 3.75775, 30, 16, 0.0425232, 0.0294634, 0.244525, 0.0164969
30.0081, 658, 65536, 65536, 1.37046, 0.245295, 1.875, 0.875, 21, 3.92472, 30, 14, 0.045589, 0.0344206, 0.276303, 0.0191956
30.0335, 692, 65536, 65536, 1.44006, 0.208574, 1.875, 1.125, 23, 3.33718, 30, 18, 0.0433848, 0.0310572, 0.261363, 0.01555
30.0017, 689, 131072, 131072, 2.87067, 0.551357, 3.875, 1.5, 22, 4.41086, 31, 12, 0.0435278, 0.0356122, 0.241195, 0.0170569
30.0523, 734, 131072, 131072, 3.05301, 0.518705, 4, 2, 24, 4.14964, 32, 16, 0.0409268, 0.0321561, 0.274777, 0.0186456
30.1262, 702, 131072, 131072, 2.91274, 0.467112, 3.75, 1.5, 23, 3.73689, 30, 12, 0.0428988, 0.0337878, 0.262666, 0.0183127
30.0156, 693, 131072, 131072, 2.886, 0.495598, 3.875, 2, 23, 3.96479, 31, 16, 0.043296, 0.0348368, 0.242171, 0.0166835
30.22, 703, 131072, 131072, 2.90784, 0.437469, 3.625, 1.75, 23, 3.49975, 29, 14, 0.0429705, 0.0329066, 0.250386, 0.018393
30.024, 870, 131072, 131072, 3.6221, 0.61543, 4.625, 2.625, 28, 4.92344, 37, 21, 0.0344944, 0.0214383, 0.207999, 0.0168732
30.016, 980, 131072, 131072, 4.08116, 0.501596, 4.75, 2.875, 32, 4.01277, 38, 23, 0.0306125, 0.0181565, 0.227869, 0.0167219
30.0611, 1028, 131072, 131072, 4.27463, 0.363596, 4.875, 3.625, 34, 2.90877, 39, 29, 0.0292265, 0.0133234, 0.130243, 0.0170786
30.0014, 1040, 131072, 131072, 4.33313, 0.351807, 4.875, 3.625, 34, 2.81446, 39, 29, 0.0288315, 0.0150562, 0.235432, 0.0157936
30.0226, 894, 262144, 262144, 7.44439, 0.72124, 8.75, 6, 29, 2.88496, 35, 24, 0.0335649, 0.0175731, 0.140875, 0.0192569
