Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 68.3011, 1000, 4194304, 4194304, 58.5642, 14, 7.46811, 25, 0, 0.0682867, 1.12489, 0.00797174
2, 30.335, 1000, 4194304, 4194304, 131.861, 32, 3.95666, 41, 24, 0.0606184, 0.430435, 0.0119254
3, 21.3746, 1000, 4194304, 4194304, 187.138, 46, 4.72733, 55, 39, 0.0853717, 0.397055, 0.0123146
4, 20.2283, 1000, 4194304, 4194304, 197.743, 49, 4.44232, 62, 43, 0.161151, 0.703403, 0.0124604
5, 20.1501, 1000, 4194304, 4194304, 198.51, 49, 5.68354, 65, 40, 0.318615, 2.16555, 0.0108222
