Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 61.0723, 1000, 4194304, 4194304, 65.4962, 16, 5.83919, 23, 0, 0.0610578, 1.1156, 0.0102067
2, 30.1064, 1000, 4194304, 4194304, 132.862, 33, 2.9206, 39, 24, 0.0601715, 0.339231, 0.0120484
3, 21.4845, 1000, 4194304, 4194304, 186.181, 46, 4.16104, 58, 39, 0.0858475, 0.37484, 0.0115942
4, 20.2514, 1000, 4194304, 4194304, 197.517, 49, 4.30911, 60, 42, 0.161315, 0.826846, 0.0127021
5, 20.1606, 1000, 4194304, 4194304, 198.406, 49, 5.48563, 60, 41, 0.318713, 2.23725, 0.0120146
