Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 76.9191, 1000, 4194304, 4194304, 52.0027, 13, 6.12139, 19, 0, 0.0761594, 1.29491, 0.00276497
2, 66.8534, 2000, 4194304, 4194304, 119.665, 29, 2.88461, 37, 24, 0.0660701, 0.350641, 0.00301265
3, 88.4573, 4000, 4194304, 4194304, 180.878, 45, 4.71451, 59, 34, 0.0876556, 0.544258, 0.00283809
4, 163.776, 8000, 4194304, 4194304, 195.389, 48, 5.63854, 67, 36, 0.162868, 1.16607, 0.00329912
5, 323.65, 16000, 4194304, 4194304, 197.744, 49, 6.64979, 71, 35, 0.322365, 2.71495, 0.00316547
