Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 67.0362, 1000, 4194304, 4194304, 59.6693, 14, 1.6305, 18, 10, 0.0670147, 0.169159, 0.0148153
2, 72.824, 2000, 4194304, 4194304, 109.854, 27, 3.14876, 36, 20, 0.0726888, 0.385007, 0.012276
3, 106.727, 4000, 4194304, 4194304, 149.915, 37, 3.92312, 47, 29, 0.106668, 0.555039, 0.0119954
4, 207.501, 8000, 4194304, 4194304, 154.216, 38, 3.9433, 51, 30, 0.207407, 2.02388, 0.0118561
5, 443.334, 16000, 4194304, 4194304, 144.361, 36, 7.74112, 57, 17, 0.443086, 4.6584, 0.00553414
