Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 68.5213, 1000, 4227072, 4227072, 58.8321, 14, 5.58868, 21, 1, 0.0685041, 1.21039, 0.0202593
1, 58.4561, 1000, 4227072, 4227072, 68.9619, 17, 2.32974, 23, 12, 0.058442, 0.304942, 0.0202286
1, 56.2288, 1000, 4227072, 4227072, 71.6937, 17, 2.3198, 21, 11, 0.0562134, 0.299435, 0.0201097
1, 56.3595, 1000, 4227072, 4227072, 71.5275, 17, 2.07576, 23, 14, 0.0563445, 0.263864, 0.020626
1, 57.4988, 1000, 4227072, 4227072, 70.1102, 17, 2.40496, 22, 10, 0.0574833, 0.267405, 0.0205277
1, 57.8452, 1000, 4227072, 4227072, 69.6903, 17, 2.19035, 22, 12, 0.0578307, 0.299562, 0.0207326
1, 56.3142, 1000, 4227072, 4227072, 71.5849, 17, 2.37602, 22, 11, 0.0562975, 0.264064, 0.0203608
1, 58.3197, 1000, 4227072, 4227072, 69.1232, 17, 2.52321, 21, 10, 0.0583026, 0.307091, 0.0207487
1, 55.3547, 1000, 4227072, 4227072, 72.8258, 18, 1.75772, 22, 14, 0.0553408, 0.261539, 0.0205221
1, 57.2456, 1000, 4227072, 4227072, 70.4203, 17, 2.30764, 22, 11, 0.057232, 0.271596, 0.0207922
2, 46.7248, 1000, 4227072, 4227072, 86.2765, 21, 1.83366, 25, 17, 0.0931962, 0.534577, 0.0208899
2, 45.769, 1000, 4227072, 4227072, 88.0782, 21, 2.20834, 28, 16, 0.0914837, 0.661115, 0.0205103
2, 47.6707, 1000, 4227072, 4227072, 84.5646, 20, 2.60399, 26, 16, 0.0953057, 1.34712, 0.0207295
2, 47.3203, 1000, 4227072, 4227072, 85.1908, 21, 2.23234, 25, 16, 0.0945872, 0.436099, 0.0209449
2, 45.8946, 1000, 4227072, 4227072, 87.837, 21, 2.35381, 26, 16, 0.0917574, 0.527946, 0.0207385
2, 47.6237, 1000, 4227072, 4227072, 84.6481, 20, 2.50642, 27, 14, 0.0951913, 0.543039, 0.0204779
2, 46.9276, 1000, 4227072, 4227072, 85.9037, 21, 2.46923, 26, 15, 0.0937994, 1.08211, 0.0204066
2, 47.2371, 1000, 4227072, 4227072, 85.3408, 21, 2.72362, 26, 12, 0.0944198, 0.753473, 0.0213305
2, 46.4858, 1000, 4227072, 4227072, 86.72, 21, 2.21817, 25, 14, 0.0927768, 0.375277, 0.0206982
2, 45.2491, 1000, 4227072, 4227072, 89.0901, 22, 2.05407, 27, 16, 0.0904564, 0.702649, 0.021099
4, 39.1157, 1000, 4227072, 4227072, 103.06, 25, 1.75988, 30, 22, 0.156284, 1.17896, 0.0255349
