Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0011, 1456, 8192, 8192, 0.379152, 0.0345361, 0.445312, 0.273438, 48, 4.42062, 57, 35, 0.0205901, 0.00722455, 0.148536, 0.0118902
30.0013, 1400, 16384, 16384, 0.729136, 0.0583295, 0.859375, 0.609375, 46, 3.73309, 55, 39, 0.0214141, 0.00770026, 0.109025, 0.0124158
30.0144, 1459, 16384, 16384, 0.759531, 0.0508548, 0.875, 0.640625, 48, 3.2547, 56, 41, 0.0205566, 0.00663995, 0.0767231, 0.0115338
30.0242, 1433, 16384, 16384, 0.745754, 0.0495694, 0.84375, 0.625, 47, 3.17244, 54, 40, 0.0209368, 0.00779498, 0.175315, 0.0104346
30.0117, 1455, 16384, 16384, 0.757517, 0.0702057, 0.90625, 0.5, 48, 4.49316, 58, 32, 0.0206113, 0.00996193, 0.319222, 0.0107888
30.0242, 1465, 16384, 16384, 0.762407, 0.0413195, 0.859375, 0.65625, 48, 2.64445, 55, 42, 0.0204791, 0.00597177, 0.0613955, 0.0112467
30.0153, 1444, 16384, 16384, 0.7517, 0.0579354, 0.84375, 0.625, 48, 3.70787, 54, 40, 0.020771, 0.00663598, 0.0727355, 0.00914762
30.0025, 1468, 16384, 16384, 0.764521, 0.0500214, 0.859375, 0.671875, 48, 3.20137, 55, 43, 0.020422, 0.00609883, 0.0648962, 0.012189
30.0383, 1307, 16384, 16384, 0.679862, 0.182897, 0.84375, 0.25, 43, 11.7054, 54, 16, 0.0229673, 0.0140166, 0.124961, 0.0105664
30.0193, 1355, 16384, 16384, 0.705275, 0.146503, 0.828125, 0.234375, 45, 9.37617, 53, 15, 0.0221386, 0.0117194, 0.113997, 0.0112803
30.006, 1442, 32768, 32768, 1.50178, 0.131453, 1.75, 1.125, 48, 4.20649, 56, 36, 0.0207934, 0.00735245, 0.152648, 0.010712
30.0348, 1420, 32768, 32768, 1.47745, 0.114055, 1.65625, 1.09375, 47, 3.64975, 53, 35, 0.021136, 0.00897996, 0.249214, 0.0113976
30.0308, 1425, 32768, 32768, 1.48285, 0.0949043, 1.625, 1.25, 47, 3.03694, 52, 40, 0.0210585, 0.00606832, 0.0641527, 0.00981509
30.013, 1422, 32768, 32768, 1.48061, 0.109331, 1.65625, 1.09375, 47, 3.4986, 53, 35, 0.0210903, 0.00824379, 0.219893, 0.0106902
30.0161, 1422, 32768, 32768, 1.48045, 0.113265, 1.625, 1.15625, 47, 3.62447, 52, 37, 0.021093, 0.00684997, 0.10765, 0.00994299
30.0088, 1427, 32768, 32768, 1.48602, 0.0709452, 1.625, 1.34375, 47, 2.27025, 52, 43, 0.0210135, 0.00713331, 0.105723, 0.0114606
30.0037, 1432, 32768, 32768, 1.49148, 0.117102, 1.65625, 1.1875, 47, 3.74725, 53, 38, 0.020937, 0.00672687, 0.0861654, 0.0107196
30.0067, 1416, 32768, 32768, 1.47467, 0.127424, 1.71875, 1.25, 47, 4.07755, 55, 40, 0.0211753, 0.00667533, 0.0992887, 0.0105715
30.0029, 1419, 32768, 32768, 1.47798, 0.100952, 1.625, 1.28125, 47, 3.23047, 52, 41, 0.021128, 0.00639125, 0.0724037, 0.0114608
30.0101, 970, 65536, 65536, 2.02015, 0.183616, 2.25, 1.375, 32, 2.93786, 36, 22, 0.0309222, 0.0135135, 0.267147, 0.0196238
30.0204, 987, 65536, 65536, 2.05485, 0.134081, 2.3125, 1.8125, 32, 2.1453, 37, 29, 0.0304001, 0.00891301, 0.114925, 0.0188717
30.0483, 990, 65536, 65536, 2.05918, 0.174076, 2.3125, 1.375, 32, 2.78522, 37, 22, 0.0303357, 0.0119761, 0.312214, 0.0186849
30.0146, 989, 65536, 65536, 2.05941, 0.0802967, 2.1875, 1.875, 32, 1.28475, 35, 30, 0.0303323, 0.00908851, 0.125187, 0.0199361
30.0074, 1012, 65536, 65536, 2.10781, 0.117387, 2.25, 1.8125, 33, 1.87819, 36, 29, 0.0296366, 0.00739321, 0.0867545, 0.0160744
30.0051, 991, 65536, 65536, 2.06423, 0.158223, 2.3125, 1.4375, 33, 2.53157, 37, 23, 0.0302624, 0.0116846, 0.303332, 0.0177057
30.0052, 1008, 65536, 65536, 2.09964, 0.110191, 2.25, 1.875, 33, 1.76306, 36, 30, 0.0297515, 0.00731495, 0.0869226, 0.0202341
30.0265, 1004, 65536, 65536, 2.08982, 0.132006, 2.3125, 1.8125, 33, 2.11209, 37, 29, 0.0298915, 0.00749075, 0.082298, 0.017233
30.0238, 981, 65536, 65536, 2.04213, 0.148023, 2.25, 1.625, 32, 2.36837, 36, 26, 0.0305894, 0.0116995, 0.281121, 0.0193562
30.0219, 1139, 131072, 131072, 4.74237, 0.471074, 5.5, 3.25, 37, 3.76859, 44, 26, 0.0263423, 0.0128488, 0.295385, 0.0146367
30.0167, 1151, 131072, 131072, 4.79316, 0.36159, 5.5, 4.125, 38, 2.89272, 44, 33, 0.0260628, 0.0100736, 0.13101, 0.0146955
