Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 80.6467, 1000, 4227072, 4227072, 49.9866, 12, 4.15796, 20, 1, 0.0806298, 0.994646, 0.0217605
1, 67.9911, 1000, 4227072, 4227072, 59.2909, 14, 3.15548, 24, 7, 0.0679728, 0.305911, 0.0204845
1, 66.5742, 1000, 4227072, 4227072, 60.5527, 15, 3.00477, 22, 8, 0.0665596, 0.314749, 0.0203255
1, 66.5521, 1000, 4227072, 4227072, 60.5728, 15, 3.25544, 22, 9, 0.066534, 0.310559, 0.0205901
1, 65.4528, 1000, 4227072, 4227072, 61.5902, 15, 2.83547, 21, 9, 0.0654365, 0.309386, 0.0206718
1, 64.4999, 1000, 4227072, 4227072, 62.5001, 15, 3.26097, 22, 7, 0.064485, 0.310664, 0.0205113
1, 65.7608, 1000, 4227072, 4227072, 61.3018, 15, 3.26675, 22, 7, 0.0657434, 0.30742, 0.0205767
1, 64.2619, 1000, 4227072, 4227072, 62.7316, 15, 2.93785, 24, 10, 0.0642453, 0.303249, 0.0203019
1, 64.7712, 1000, 4227072, 4227072, 62.2383, 15, 3.26413, 22, 9, 0.0647564, 0.307731, 0.020744
1, 66.8431, 1000, 4227072, 4227072, 60.3091, 14, 2.45405, 23, 10, 0.0668267, 0.309272, 0.0205609
2, 47.9723, 1000, 4227072, 4227072, 84.033, 20, 3.51829, 28, 13, 0.0958942, 0.715054, 0.0206391
2, 49.8673, 1000, 4227072, 4227072, 80.8395, 20, 2.93655, 26, 14, 0.0996824, 1.1085, 0.0210604
2, 48.1253, 1000, 4227072, 4227072, 83.7657, 20, 3.28439, 28, 14, 0.0962295, 0.524501, 0.0220905
2, 49.2882, 1000, 4227072, 4227072, 81.7894, 20, 3.13269, 26, 13, 0.0985488, 0.672461, 0.02106
2, 50.5818, 1000, 4227072, 4227072, 79.6977, 19, 3.45968, 28, 11, 0.101126, 0.715059, 0.0208565
2, 49.51, 1000, 4227072, 4227072, 81.423, 20, 2.80776, 28, 13, 0.0988078, 0.707058, 0.0213099
2, 49.8574, 1000, 4227072, 4227072, 80.8556, 20, 3.34166, 27, 12, 0.0996872, 0.693902, 0.0212759
2, 49.1255, 1000, 4227072, 4227072, 82.0602, 20, 2.8564, 26, 14, 0.0981075, 0.691336, 0.0212079
2, 48.578, 1000, 4227072, 4227072, 82.9851, 20, 2.70506, 26, 15, 0.0971312, 0.67881, 0.021922
2, 50.1185, 1000, 4227072, 4227072, 80.4344, 19, 2.78106, 25, 15, 0.10003, 0.663547, 0.0212698
4, 38.5095, 1000, 4227072, 4227072, 104.682, 25, 2.90741, 35, 21, 0.153952, 1.0437, 0.0224978
4, 39.3079, 1000, 4227072, 4227072, 102.556, 25, 2.65288, 31, 21, 0.157112, 0.77811, 0.0206823
4, 38.9129, 1000, 4227072, 4227072, 103.597, 25, 2.40155, 29, 20, 0.15545, 0.656858, 0.0207094
4, 38.4407, 1000, 4227072, 4227072, 104.869, 26, 2.46584, 30, 21, 0.153667, 0.781958, 0.0217505
4, 38.4221, 1000, 4227072, 4227072, 104.92, 26, 2.24147, 31, 20, 0.153556, 1.15635, 0.0234661
4, 38.709, 1000, 4227072, 4227072, 104.142, 25, 2.58566, 30, 20, 0.154706, 1.41843, 0.0216696
4, 38.0194, 1000, 4227072, 4227072, 106.031, 26, 2.49224, 31, 21, 0.15188, 1.23087, 0.0217708
4, 37.9859, 1000, 4227072, 4227072, 106.125, 26, 2.45683, 31, 21, 0.151584, 1.38708, 0.0230745
4, 38.8822, 1000, 4227072, 4227072, 103.679, 25, 2.30791, 30, 20, 0.155478, 0.833458, 0.0213476
4, 37.5886, 1000, 4227072, 4227072, 107.247, 26, 1.87764, 30, 22, 0.149932, 0.849749, 0.0216613
8, 33.601, 1000, 4227072, 4227072, 119.974, 29, 2.38246, 37, 24, 0.268303, 1.09793, 0.0236465
8, 34.2261, 1000, 4227072, 4227072, 117.783, 29, 2.51218, 34, 24, 0.273145, 1.24691, 0.0300842
8, 33.9643, 1000, 4227072, 4227072, 118.691, 29, 2.00756, 33, 25, 0.271113, 1.35168, 0.0254463
8, 34.024, 1000, 4227072, 4227072, 118.483, 29, 2.26989, 34, 25, 0.271232, 1.52168, 0.0246857
8, 33.9415, 1000, 4227072, 4227072, 118.771, 29, 2.68024, 35, 25, 0.270991, 1.52333, 0.0260317
8, 33.839, 1000, 4227072, 4227072, 119.13, 29, 2.42306, 35, 24, 0.270166, 1.45503, 0.022925
8, 34.0715, 1000, 4227072, 4227072, 118.317, 29, 2.32651, 36, 25, 0.271952, 1.20124, 0.0229359
8, 33.8788, 1000, 4227072, 4227072, 118.99, 29, 2.23522, 34, 25, 0.27039, 1.41847, 0.0311686
8, 33.8592, 1000, 4227072, 4227072, 119.059, 29, 2.10564, 35, 25, 0.270212, 1.58433, 0.0258453
8, 33.7839, 1000, 4227072, 4227072, 119.325, 29, 2.56211, 34, 25, 0.269659, 1.18674, 0.0280203
16, 32.2036, 1000, 4227072, 4227072, 125.18, 31, 2.44269, 35, 25, 0.511955, 3.1822, 0.0352753
16, 32.4174, 1000, 4227072, 4227072, 124.354, 30, 3.0374, 37, 25, 0.515327, 3.02069, 0.0342283
16, 32.4714, 1000, 4227072, 4227072, 124.148, 30, 2.85115, 38, 26, 0.516226, 3.16701, 0.0381198
16, 32.3752, 1000, 4227072, 4227072, 124.517, 30, 2.12512, 36, 27, 0.514658, 3.45481, 0.0342037
16, 32.4921, 1000, 4227072, 4227072, 124.069, 30, 2.70286, 36, 26, 0.516656, 3.2432, 0.0359923
16, 32.2751, 1000, 4227072, 4227072, 124.903, 30, 2.22522, 35, 25, 0.512896, 4.56125, 0.0287423
16, 32.3926, 1000, 4227072, 4227072, 124.45, 30, 2.41551, 37, 25, 0.515194, 3.55298, 0.0329257
16, 32.3934, 1000, 4227072, 4227072, 124.447, 30, 2.28247, 37, 26, 0.51442, 3.41413, 0.0345786
16, 32.4268, 1000, 4227072, 4227072, 124.318, 30, 2.09454, 35, 26, 0.515536, 2.78597, 0.0307428
16, 32.4361, 1000, 4227072, 4227072, 124.283, 30, 2.13624, 34, 26, 0.515906, 2.64212, 0.0267444
