Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 172.495, 1000, 4194304, 4194304, 23.1891, 3.08746, 32, 16, 5, 0.771866, 8, 4, 0.17247, 0.0454102, 0.479996, 0.0763413
1, 171.718, 1000, 4194304, 4194304, 23.294, 2.99616, 32, 16, 5, 0.749039, 8, 4, 0.171694, 0.045681, 0.464396, 0.0679886
1, 169.857, 1000, 4194304, 4194304, 23.5492, 3.31854, 32, 12, 5, 0.829634, 8, 3, 0.169833, 0.0481376, 0.454664, 0.0703679
1, 171.624, 1000, 4194304, 4194304, 23.3068, 3.04842, 32, 16, 5, 0.762106, 8, 4, 0.171599, 0.0450914, 0.404767, 0.0779241
1, 167.015, 1000, 4194304, 4194304, 23.9499, 3.35353, 32, 16, 5, 0.838382, 8, 4, 0.166991, 0.0457925, 0.43092, 0.0674084
1, 172.915, 1000, 4194304, 4194304, 23.1328, 2.8864, 32, 16, 5, 0.721599, 8, 4, 0.172891, 0.0464918, 0.480759, 0.0689386
1, 170.948, 1000, 4194304, 4194304, 23.3989, 2.72984, 28, 16, 5, 0.682459, 7, 4, 0.170924, 0.0458017, 0.415642, 0.0727077
1, 169.697, 1000, 4194304, 4194304, 23.5714, 3.47596, 32, 16, 5, 0.868989, 8, 4, 0.169672, 0.0498198, 0.516641, 0.0658458
1, 169.371, 1000, 4194304, 4194304, 23.6168, 3.0626, 32, 16, 5, 0.765651, 8, 4, 0.169346, 0.0447949, 0.463425, 0.0711094
1, 171.205, 1000, 4194304, 4194304, 23.3638, 3.23823, 32, 12, 5, 0.809558, 8, 3, 0.171181, 0.0470871, 0.45848, 0.0760295
2, 101.743, 1000, 4194304, 4194304, 39.3146, 5.01941, 52, 20, 9, 1.25485, 13, 5, 0.203404, 0.0736106, 0.642006, 0.0696117
2, 99.9307, 1000, 4194304, 4194304, 40.0277, 5.48095, 52, 28, 10, 1.37024, 13, 7, 0.199811, 0.0713706, 0.609885, 0.0694609
2, 102.439, 1000, 4194304, 4194304, 39.0477, 4.50923, 48, 28, 9, 1.12731, 12, 7, 0.204606, 0.0709984, 0.603047, 0.0682758
2, 102.185, 1000, 4194304, 4194304, 39.1449, 5.05424, 48, 28, 9, 1.26356, 12, 7, 0.204318, 0.0716045, 0.598584, 0.0658157
2, 99.649, 1000, 4194304, 4194304, 40.1409, 4.86401, 52, 28, 10, 1.216, 13, 7, 0.199269, 0.0651835, 0.551773, 0.0666914
2, 100.501, 1000, 4194304, 4194304, 39.8006, 4.63191, 52, 24, 9, 1.15798, 13, 6, 0.200891, 0.0654104, 0.641138, 0.0677608
2, 102.951, 1000, 4194304, 4194304, 38.8533, 5.1462, 48, 28, 9, 1.28655, 12, 7, 0.205863, 0.0695107, 0.537624, 0.0700037
2, 101.357, 1000, 4194304, 4194304, 39.4646, 5.39718, 52, 28, 9, 1.34929, 13, 7, 0.202582, 0.06909, 0.638777, 0.0700645
2, 101.194, 1000, 4194304, 4194304, 39.5281, 5.13146, 52, 24, 9, 1.28286, 13, 6, 0.202231, 0.067553, 0.531242, 0.067771
2, 100.726, 1000, 4194304, 4194304, 39.7119, 5.92696, 56, 24, 9, 1.48174, 14, 6, 0.201405, 0.067268, 0.521146, 0.0690617
4, 71.1227, 1000, 4194304, 4194304, 56.2409, 6.85815, 68, 36, 14, 1.71454, 17, 9, 0.28408, 0.117195, 1.20023, 0.0684142
4, 68.7871, 1000, 4194304, 4194304, 58.1504, 7.58539, 72, 40, 14, 1.89635, 18, 10, 0.274607, 0.107097, 0.708622, 0.0701803
4, 70.2126, 1000, 4194304, 4194304, 56.9698, 7.46537, 76, 36, 14, 1.86634, 19, 9, 0.280636, 0.103297, 0.928774, 0.0732465
4, 69.3988, 1000, 4194304, 4194304, 57.6379, 6.90799, 76, 40, 14, 1.727, 19, 10, 0.277398, 0.107847, 0.678149, 0.0666707
4, 68.816, 1000, 4194304, 4194304, 58.126, 7.26472, 80, 44, 14, 1.81618, 20, 11, 0.274996, 0.10642, 0.769286, 0.0703487
4, 69.2382, 1000, 4194304, 4194304, 57.7716, 6.56114, 76, 44, 14, 1.64029, 19, 11, 0.276574, 0.107943, 0.795633, 0.0740852
4, 68.2725, 1000, 4194304, 4194304, 58.5888, 7.00583, 76, 44, 14, 1.75146, 19, 11, 0.272639, 0.103771, 0.793542, 0.0677838
4, 69.8206, 1000, 4194304, 4194304, 57.2897, 7.09502, 76, 40, 14, 1.77375, 19, 10, 0.278505, 0.1023, 0.790386, 0.0715268
4, 69.9513, 1000, 4194304, 4194304, 57.1826, 8.06157, 76, 36, 14, 2.01539, 19, 9, 0.279486, 0.114331, 0.795077, 0.0664549
4, 68.7556, 1000, 4194304, 4194304, 58.1771, 5.88446, 72, 44, 14, 1.47111, 18, 11, 0.274775, 0.107329, 0.90451, 0.0736408
8, 55.3018, 1000, 4194304, 4194304, 72.3303, 9.42695, 92, 36, 18, 2.35674, 23, 9, 0.441728, 0.181346, 1.65878, 0.069617
8, 55.3153, 1000, 4194304, 4194304, 72.3127, 8.25388, 92, 48, 18, 2.06347, 23, 12, 0.441269, 0.171942, 1.12771, 0.0754537
8, 56.5692, 1000, 4194304, 4194304, 70.7099, 7.56066, 88, 56, 17, 1.89017, 22, 14, 0.449401, 0.174905, 1.46417, 0.0723025
8, 56.2227, 1000, 4194304, 4194304, 71.1456, 10.4098, 96, 36, 17, 2.60245, 24, 9, 0.448478, 0.172819, 1.38195, 0.0699239
8, 54.951, 1000, 4194304, 4194304, 72.7921, 7.90156, 88, 52, 18, 1.97539, 22, 13, 0.438548, 0.169091, 1.21738, 0.0692546
8, 56.1193, 1000, 4194304, 4194304, 71.2768, 9.07086, 92, 52, 17, 2.26772, 23, 13, 0.447881, 0.178835, 1.5787, 0.0671605
8, 55.7181, 1000, 4194304, 4194304, 71.7899, 7.17872, 84, 52, 17, 1.79468, 21, 13, 0.443928, 0.172157, 1.13881, 0.0679225
8, 55.7789, 1000, 4194304, 4194304, 71.7118, 8.25519, 88, 48, 17, 2.0638, 22, 12, 0.443555, 0.178765, 1.32432, 0.0699289
8, 55.8077, 1000, 4194304, 4194304, 71.6748, 7.55888, 84, 56, 17, 1.88972, 21, 14, 0.445942, 0.184492, 1.42024, 0.0725546
8, 54.8151, 1000, 4194304, 4194304, 72.9726, 8.3102, 96, 56, 18, 2.07755, 24, 14, 0.437491, 0.174415, 1.27158, 0.0714074
16, 49.888, 1000, 4194304, 4194304, 80.1797, 12.0543, 104, 40, 20, 3.01357, 26, 10, 0.794004, 0.383823, 3.16894, 0.0697826
16, 49.4079, 1000, 4194304, 4194304, 80.9588, 12.5601, 108, 40, 20, 3.14001, 27, 10, 0.787404, 0.341972, 3.08112, 0.068851
16, 50.5006, 1000, 4194304, 4194304, 79.2069, 12.5259, 108, 36, 19, 3.13147, 27, 9, 0.803266, 0.367235, 2.67367, 0.0765306
16, 50.0468, 1000, 4194304, 4194304, 79.9252, 13.4246, 108, 40, 19, 3.35614, 27, 10, 0.797126, 0.369662, 2.84546, 0.0756678
16, 50.1116, 1000, 4194304, 4194304, 79.8219, 12.4799, 100, 28, 19, 3.11998, 25, 7, 0.796355, 0.393355, 2.70868, 0.0681819
16, 49.305, 1000, 4194304, 4194304, 81.1277, 12.8783, 104, 20, 20, 3.21957, 26, 5, 0.784098, 0.362347, 2.46101, 0.0702752
16, 51.3369, 1000, 4194304, 4194304, 77.9167, 13.4404, 108, 40, 19, 3.36009, 27, 10, 0.816975, 0.396772, 2.94503, 0.068629
16, 49.8577, 1000, 4194304, 4194304, 80.2284, 11.9989, 104, 32, 20, 2.99972, 26, 8, 0.792616, 0.328881, 2.50678, 0.0752359
16, 51.6296, 1000, 4194304, 4194304, 77.4749, 11.8818, 104, 32, 19, 2.97044, 26, 8, 0.821447, 0.41418, 2.81788, 0.0690767
16, 50.1661, 1000, 4194304, 4194304, 79.7352, 12.0851, 112, 56, 19, 3.02129, 28, 14, 0.799115, 0.340921, 2.29776, 0.0699232
