Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 88.3682, 1000, 4194304, 4194304, 45.2652, 6.60325, 56, 16, 11, 1.65081, 14, 4, 0.0883412, 0.0369968, 0.375097, 0.0411395
1, 89.1994, 1000, 4194304, 4194304, 44.8433, 5.78964, 60, 20, 11, 1.44741, 15, 5, 0.0891718, 0.0349843, 0.377264, 0.0417832
1, 86.0841, 1000, 4194304, 4194304, 46.4662, 5.56184, 56, 32, 11, 1.39046, 14, 8, 0.086056, 0.0305788, 0.212674, 0.0391774
1, 87.2674, 1000, 4194304, 4194304, 45.8361, 5.31097, 60, 32, 11, 1.32774, 15, 8, 0.0872407, 0.0300053, 0.224953, 0.0407668
1, 89.4148, 1000, 4194304, 4194304, 44.7353, 6.16624, 56, 28, 11, 1.54156, 14, 7, 0.089386, 0.037132, 0.353694, 0.0405687
1, 87.4695, 1000, 4194304, 4194304, 45.7302, 6.47145, 60, 20, 11, 1.61786, 15, 5, 0.0874425, 0.0333095, 0.370196, 0.0415417
1, 84.4306, 1000, 4194304, 4194304, 47.3762, 5.02501, 60, 32, 11, 1.25625, 15, 8, 0.0844037, 0.0306614, 0.356145, 0.0395152
1, 86.8905, 1000, 4194304, 4194304, 46.0349, 4.58129, 56, 32, 11, 1.14532, 14, 8, 0.0868623, 0.0327103, 0.412671, 0.0385472
1, 89.0452, 1000, 4194304, 4194304, 44.921, 5.51866, 56, 32, 11, 1.37966, 14, 8, 0.0890173, 0.037136, 0.439693, 0.0419291
1, 87.4999, 1000, 4194304, 4194304, 45.7144, 5.86838, 60, 32, 11, 1.46709, 15, 8, 0.0874731, 0.0324205, 0.341383, 0.0393765
2, 56.9214, 1000, 4194304, 4194304, 70.2723, 10.258, 96, 48, 17, 2.56449, 24, 12, 0.113739, 0.052033, 0.351389, 0.0419185
2, 57.4289, 1000, 4194304, 4194304, 69.6513, 6.83937, 84, 52, 17, 1.70984, 21, 13, 0.114749, 0.0530086, 0.418884, 0.0418844
2, 56.6892, 1000, 4194304, 4194304, 70.5602, 8.36536, 88, 52, 17, 2.09134, 22, 13, 0.113227, 0.0547788, 0.394715, 0.0415861
2, 56.0636, 1000, 4194304, 4194304, 71.3476, 7.38654, 88, 56, 17, 1.84664, 22, 14, 0.112041, 0.0520957, 0.401495, 0.0426333
