Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 102.636, 1000, 4227072, 4227072, 39.2771, 4.30854, 52.4062, 28.2188, 9, 1.06879, 13, 7, 0.102605, 0.0268381, 0.221437, 0.0576146
1, 102.278, 1000, 4227072, 4227072, 39.4146, 3.7589, 48.375, 32.25, 9, 0.932439, 12, 8, 0.102247, 0.0269686, 0.24532, 0.0557431
1, 103.583, 1000, 4227072, 4227072, 38.9179, 3.32563, 44.3438, 32.25, 9, 0.824963, 11, 8, 0.103552, 0.0261448, 0.204715, 0.0550392
1, 103.296, 1000, 4227072, 4227072, 39.0263, 4.38663, 48.375, 20.1562, 9, 1.08816, 12, 5, 0.103264, 0.0307442, 0.373928, 0.0518105
1, 103.83, 1000, 4227072, 4227072, 38.8257, 3.86393, 48.375, 28.2188, 9, 0.958495, 12, 7, 0.103797, 0.0309415, 0.389483, 0.055505
1, 103.838, 1000, 4227072, 4227072, 38.8224, 3.74934, 48.375, 28.2188, 9, 0.93007, 12, 7, 0.103807, 0.0283997, 0.297423, 0.0538903
1, 103.12, 1000, 4227072, 4227072, 39.0928, 3.98494, 52.4062, 28.2188, 9, 0.988512, 13, 7, 0.103088, 0.0287488, 0.316538, 0.0564087
1, 104.548, 1000, 4227072, 4227072, 38.5587, 4.00236, 48.375, 24.1875, 9, 0.992833, 12, 6, 0.104517, 0.030199, 0.408802, 0.053922
1, 103.986, 1000, 4227072, 4227072, 38.7671, 3.91563, 48.375, 32.25, 9, 0.971319, 12, 8, 0.103955, 0.0284704, 0.283084, 0.0564719
1, 103.47, 1000, 4227072, 4227072, 38.9605, 3.93337, 48.375, 28.2188, 9, 0.975719, 12, 7, 0.103437, 0.027918, 0.324886, 0.0547138
2, 68.0541, 1000, 4227072, 4227072, 59.2359, 5.79629, 68.5312, 48.375, 14, 1.43784, 17, 12, 0.13597, 0.0527729, 0.472579, 0.056294
2, 69.6899, 1000, 4227072, 4227072, 57.8456, 5.52331, 68.5312, 36.2812, 14, 1.37012, 17, 9, 0.139272, 0.0527673, 0.412774, 0.0560961
2, 67.7823, 1000, 4227072, 4227072, 59.4735, 5.92733, 72.5625, 40.3125, 14, 1.47035, 18, 10, 0.135475, 0.0546408, 0.447779, 0.0566316
2, 67.56, 1000, 4227072, 4227072, 59.6691, 7.00125, 76.5938, 44.3438, 14, 1.73674, 19, 11, 0.135087, 0.0501604, 0.45378, 0.0539602
2, 66.9604, 1000, 4227072, 4227072, 60.2035, 6.05454, 72.5625, 44.3438, 14, 1.5019, 18, 11, 0.133835, 0.0489756, 0.397777, 0.057904
2, 67.7728, 1000, 4227072, 4227072, 59.4818, 5.74791, 68.5312, 48.375, 14, 1.42584, 17, 12, 0.13546, 0.0518964, 0.398347, 0.0576653
2, 67.4041, 1000, 4227072, 4227072, 59.8072, 5.10522, 72.5625, 52.4062, 14, 1.26641, 18, 13, 0.134707, 0.0510989, 0.402623, 0.0549351
2, 67.2453, 1000, 4227072, 4227072, 59.9484, 6.5275, 76.5938, 48.375, 14, 1.61923, 19, 12, 0.134288, 0.052325, 0.375397, 0.0565486
2, 68.0806, 1000, 4227072, 4227072, 59.2129, 6.62989, 72.5625, 40.3125, 14, 1.64462, 18, 10, 0.136075, 0.0528042, 0.409345, 0.0531459
2, 67.4288, 1000, 4227072, 4227072, 59.7853, 5.85434, 72.5625, 44.3438, 14, 1.45224, 18, 11, 0.134683, 0.051769, 0.425536, 0.0581762
4, 49.1415, 1000, 4227072, 4227072, 82.0335, 8.31894, 100.781, 64.5, 20, 2.06361, 25, 16, 0.196451, 0.0892338, 1.20879, 0.0627194
4, 47.7457, 1000, 4227072, 4227072, 84.4316, 7.44296, 100.781, 68.5312, 20, 1.84632, 25, 17, 0.190812, 0.079242, 0.557113, 0.060157
4, 47.5511, 1000, 4227072, 4227072, 84.7771, 8.97487, 108.844, 68.5312, 21, 2.22632, 27, 17, 0.189901, 0.0805952, 0.609212, 0.0544734
4, 48.6352, 1000, 4227072, 4227072, 82.8875, 7.43355, 100.781, 68.5312, 20, 1.84398, 25, 17, 0.194186, 0.0820005, 0.768705, 0.0640443
4, 48.8458, 1000, 4227072, 4227072, 82.5301, 8.83618, 100.781, 56.4375, 20, 2.19192, 25, 14, 0.1951, 0.0841952, 0.61616, 0.0624484
4, 48.0844, 1000, 4227072, 4227072, 83.8369, 8.91612, 108.844, 68.5312, 20, 2.21175, 27, 17, 0.191952, 0.081913, 0.606682, 0.0565977
4, 48.5823, 1000, 4227072, 4227072, 82.9777, 7.24759, 96.75, 68.5312, 20, 1.79785, 24, 17, 0.194066, 0.0777722, 0.500447, 0.0541341
4, 48.1577, 1000, 4227072, 4227072, 83.7094, 8.54778, 104.812, 64.5, 20, 2.12038, 26, 16, 0.191802, 0.0775021, 0.485981, 0.0613434
4, 48.6045, 1000, 4227072, 4227072, 82.9399, 9.0715, 100.781, 64.5, 20, 2.2503, 25, 16, 0.194289, 0.0798419, 0.6129, 0.058697
4, 48.4015, 1000, 4227072, 4227072, 83.2878, 6.36718, 96.75, 68.5312, 20, 1.57946, 24, 17, 0.193546, 0.0773658, 0.508673, 0.0638844
8, 37.8409, 1000, 4227072, 4227072, 106.532, 10.5403, 129, 80.625, 26, 2.61464, 32, 20, 0.30225, 0.132779, 1.51782, 0.0681696
8, 38.1229, 1000, 4227072, 4227072, 105.744, 9.40447, 120.938, 72.5625, 26, 2.33289, 30, 18, 0.303666, 0.13132, 1.48192, 0.0612979
8, 38.3602, 1000, 4227072, 4227072, 105.089, 10.6608, 133.031, 88.6875, 26, 2.64454, 33, 22, 0.30645, 0.140102, 0.855679, 0.0735077
8, 38.4631, 1000, 4227072, 4227072, 104.808, 11.7126, 133.031, 84.6562, 25, 2.90546, 33, 21, 0.307241, 0.131952, 1.30182, 0.0619459
8, 38.4201, 1000, 4227072, 4227072, 104.925, 9.82757, 124.969, 84.6562, 26, 2.43785, 31, 21, 0.30661, 0.129117, 0.838499, 0.0675148
8, 37.7826, 1000, 4227072, 4227072, 106.696, 10.3887, 129, 88.6875, 26, 2.57704, 32, 22, 0.301436, 0.12987, 1.30975, 0.074969
8, 38.0752, 1000, 4227072, 4227072, 105.876, 7.90616, 120.938, 88.6875, 26, 1.96122, 30, 22, 0.303596, 0.132186, 1.07168, 0.0654947
8, 38.0537, 1000, 4227072, 4227072, 105.936, 10.037, 129, 84.6562, 26, 2.48981, 32, 21, 0.303045, 0.131572, 0.827349, 0.0708259
8, 37.7294, 1000, 4227072, 4227072, 106.846, 9.94714, 120.938, 80.625, 26, 2.46751, 30, 20, 0.300853, 0.132176, 0.810036, 0.0677174
8, 38.4297, 1000, 4227072, 4227072, 104.899, 11.1484, 129, 80.625, 26, 2.76549, 32, 20, 0.305927, 0.128253, 0.831602, 0.0768958
16, 34.6861, 1000, 4227072, 4227072, 116.221, 12.6367, 145.125, 88.6875, 28, 3.13468, 36, 22, 0.551862, 0.45992, 3.17765, 0.0807036
16, 34.3297, 1000, 4227072, 4227072, 117.428, 15.7786, 149.156, 80.625, 29, 3.91407, 37, 20, 0.543832, 0.329647, 2.76907, 0.109056
16, 34.2449, 1000, 4227072, 4227072, 117.718, 12.9195, 145.125, 88.6875, 29, 3.20483, 36, 22, 0.544344, 0.365911, 2.84819, 0.0907157
16, 34.6884, 1000, 4227072, 4227072, 116.213, 14.1563, 145.125, 80.625, 28, 3.51163, 36, 20, 0.550031, 0.408658, 2.61977, 0.110153
16, 34.6431, 1000, 4227072, 4227072, 116.365, 9.72374, 137.062, 100.781, 28, 2.41209, 34, 25, 0.548903, 0.348588, 2.78493, 0.115005
16, 34.0654, 1000, 4227072, 4227072, 118.338, 13.7704, 141.094, 88.6875, 29, 3.41591, 35, 22, 0.541557, 0.36193, 2.26942, 0.115404
16, 34.7702, 1000, 4227072, 4227072, 115.94, 12.9894, 141.094, 88.6875, 28, 3.22217, 35, 22, 0.553157, 0.35354, 2.26636, 0.100859
16, 34.736, 1000, 4227072, 4227072, 116.054, 12.3767, 145.125, 80.625, 28, 3.07018, 36, 20, 0.551974, 0.369015, 2.58676, 0.0988235
16, 34.655, 1000, 4227072, 4227072, 116.325, 8.97389, 137.062, 92.7188, 28, 2.22608, 34, 23, 0.548848, 0.355495, 2.51047, 0.092856
16, 34.6654, 1000, 4227072, 4227072, 116.29, 10.7219, 137.062, 84.6562, 28, 2.65969, 34, 21, 0.552174, 0.482329, 3.77807, 0.0824289
