Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 94.6322, 1000, 4227072, 4227072, 42.5991, 3.57444, 52.4062, 36.2812, 10, 0.886682, 13, 9, 0.0946029, 0.0251679, 0.187179, 0.0507526
1, 96.4246, 1000, 4227072, 4227072, 41.8073, 4.06295, 52.4062, 32.25, 10, 1.00786, 13, 8, 0.0963956, 0.0312567, 0.433742, 0.0502003
1, 95.0824, 1000, 4227072, 4227072, 42.3975, 4.69911, 56.4375, 20.1562, 10, 1.16567, 14, 5, 0.0950529, 0.0315044, 0.406714, 0.0518538
1, 95.0685, 1000, 4227072, 4227072, 42.4036, 4.54957, 52.4062, 28.2188, 10, 1.12858, 13, 7, 0.0950394, 0.0270093, 0.2253, 0.0494008
1, 96.1896, 1000, 4227072, 4227072, 41.9094, 4.69282, 52.4062, 28.2188, 10, 1.16411, 13, 7, 0.0961602, 0.031144, 0.388517, 0.0503183
1, 96.2685, 1000, 4227072, 4227072, 41.8751, 4.9759, 52.4062, 24.1875, 10, 1.23433, 13, 6, 0.0962398, 0.0310205, 0.389064, 0.0499603
1, 92.9123, 1000, 4227072, 4227072, 43.3877, 3.79718, 48.375, 32.25, 10, 0.941936, 12, 8, 0.0928836, 0.0258492, 0.209339, 0.0518422
1, 94.5185, 1000, 4227072, 4227072, 42.6504, 3.99023, 52.4062, 32.25, 10, 0.989825, 13, 8, 0.094489, 0.0293098, 0.391402, 0.049375
1, 94.5284, 1000, 4227072, 4227072, 42.6459, 4.32641, 52.4062, 32.25, 10, 1.07322, 13, 8, 0.094499, 0.0290639, 0.376703, 0.0495183
1, 94.1186, 1000, 4227072, 4227072, 42.8316, 4.26735, 52.4062, 28.2188, 10, 1.05857, 13, 7, 0.0940889, 0.029956, 0.405649, 0.047118
2, 62.3121, 1000, 4227072, 4227072, 64.6945, 7.13061, 76.5938, 44.3438, 16, 1.76883, 19, 11, 0.124591, 0.0488127, 0.383528, 0.0505772
2, 61.4657, 1000, 4227072, 4227072, 65.5853, 8.76744, 84.6562, 28.2188, 16, 2.17487, 21, 7, 0.122902, 0.0479577, 0.429292, 0.0533575
2, 62.5347, 1000, 4227072, 4227072, 64.4642, 7.15076, 84.6562, 52.4062, 15, 1.77383, 21, 13, 0.125026, 0.0505589, 0.418542, 0.0526092
2, 62.9422, 1000, 4227072, 4227072, 64.0469, 9.59667, 84.6562, 32.25, 15, 2.38057, 21, 8, 0.125815, 0.0506058, 0.397678, 0.0527353
2, 60.8083, 1000, 4227072, 4227072, 66.2944, 6.52838, 80.625, 44.3438, 16, 1.61944, 20, 11, 0.12153, 0.0462726, 0.527011, 0.0540436
2, 59.5312, 1000, 4227072, 4227072, 67.7166, 6.81087, 80.625, 48.375, 16, 1.68952, 20, 12, 0.118885, 0.0465104, 0.406011, 0.0533097
2, 61.2996, 1000, 4227072, 4227072, 65.7631, 7.87698, 84.6562, 48.375, 16, 1.95398, 21, 12, 0.122438, 0.0473494, 0.333406, 0.0552946
2, 60.6784, 1000, 4227072, 4227072, 66.4364, 5.96086, 76.5938, 48.375, 16, 1.47866, 19, 12, 0.121235, 0.0449879, 0.348822, 0.0466492
2, 61.6005, 1000, 4227072, 4227072, 65.4418, 8.25569, 80.625, 44.3438, 16, 2.04792, 20, 11, 0.123141, 0.0534613, 0.740526, 0.051692
2, 61.4777, 1000, 4227072, 4227072, 65.5726, 7.04626, 84.6562, 52.4062, 16, 1.74791, 21, 13, 0.12286, 0.047211, 0.377896, 0.0530595
4, 43.3455, 1000, 4227072, 4227072, 93.0027, 10.8273, 116.906, 68.5312, 23, 2.68584, 29, 17, 0.173107, 0.0809819, 0.745164, 0.0513259
4, 43.8181, 1000, 4227072, 4227072, 91.9996, 10.6022, 112.875, 68.5312, 22, 2.63001, 28, 17, 0.175089, 0.0829548, 0.553163, 0.0538326
4, 43.5413, 1000, 4227072, 4227072, 92.5844, 11.6642, 116.906, 72.5625, 22, 2.89346, 29, 18, 0.173958, 0.0780803, 0.730315, 0.0583538
4, 43.1108, 1000, 4227072, 4227072, 93.5091, 8.10702, 108.844, 76.5938, 23, 2.01104, 27, 19, 0.172211, 0.0759535, 0.570959, 0.0551373
4, 44.5157, 1000, 4227072, 4227072, 90.558, 8.97212, 112.875, 72.5625, 22, 2.22564, 28, 18, 0.177713, 0.0789118, 0.622763, 0.0584453
4, 43.3214, 1000, 4227072, 4227072, 93.0545, 9.04902, 112.875, 76.5938, 23, 2.24472, 28, 19, 0.172934, 0.0804798, 1.02043, 0.0544815
4, 43.4744, 1000, 4227072, 4227072, 92.7271, 7.4897, 108.844, 80.625, 23, 1.85791, 27, 20, 0.173693, 0.0735267, 0.465236, 0.0537743
4, 44.2645, 1000, 4227072, 4227072, 91.0719, 10.0435, 108.844, 68.5312, 22, 2.49142, 27, 17, 0.176928, 0.0777352, 0.786004, 0.0585663
4, 43.7597, 1000, 4227072, 4227072, 92.1225, 9.3204, 108.844, 76.5938, 22, 2.31204, 27, 19, 0.174705, 0.0778696, 0.784617, 0.0501078
4, 43.3758, 1000, 4227072, 4227072, 92.9377, 7.38565, 108.844, 72.5625, 23, 1.8321, 27, 18, 0.173357, 0.0753854, 0.75081, 0.0571656
8, 35.032, 1000, 4227072, 4227072, 115.073, 8.70902, 133.031, 96.75, 28, 2.16038, 33, 24, 0.279413, 0.138547, 1.2793, 0.0677918
8, 35.0382, 1000, 4227072, 4227072, 115.053, 10.9475, 133.031, 84.6562, 28, 2.71566, 33, 21, 0.279613, 0.128202, 0.875697, 0.0649675
8, 34.3044, 1000, 4227072, 4227072, 117.514, 9.61062, 133.031, 96.75, 29, 2.38403, 33, 24, 0.272977, 0.130695, 1.0027, 0.0707971
8, 34.8123, 1000, 4227072, 4227072, 115.8, 12.7599, 141.094, 88.6875, 28, 3.16524, 35, 22, 0.277737, 0.128415, 0.888646, 0.0667092
8, 34.7359, 1000, 4227072, 4227072, 116.054, 10.0871, 137.062, 96.75, 28, 2.50223, 34, 24, 0.276642, 0.130441, 1.00811, 0.0621099
8, 35.2719, 1000, 4227072, 4227072, 114.291, 11.2307, 129, 88.6875, 28, 2.78592, 32, 22, 0.280849, 0.136845, 1.3543, 0.066355
8, 34.6219, 1000, 4227072, 4227072, 116.437, 10.4586, 133.031, 92.7188, 28, 2.59439, 33, 23, 0.276438, 0.130414, 0.720066, 0.0685657
8, 34.805, 1000, 4227072, 4227072, 115.824, 10.1949, 141.094, 96.75, 28, 2.52898, 35, 24, 0.276386, 0.127652, 0.861352, 0.061381
8, 34.8755, 1000, 4227072, 4227072, 115.59, 10.6894, 145.125, 96.75, 28, 2.65164, 36, 24, 0.277843, 0.135536, 1.36483, 0.0639923
8, 35.7253, 1000, 4227072, 4227072, 112.84, 12.4037, 141.094, 80.625, 27, 3.07689, 35, 20, 0.283902, 0.203606, 3.37978, 0.0588229
16, 31.6474, 1000, 4227072, 4227072, 127.38, 11.944, 149.156, 100.781, 31, 2.96285, 37, 25, 0.50264, 0.354715, 2.33736, 0.0782613
16, 31.9346, 1000, 4227072, 4227072, 126.234, 13.7579, 145.125, 76.5938, 31, 3.41282, 36, 19, 0.507591, 0.354642, 2.26197, 0.0892519
16, 32.018, 1000, 4227072, 4227072, 125.906, 14.5433, 149.156, 84.6562, 31, 3.60765, 37, 21, 0.507744, 0.384004, 2.50281, 0.083933
16, 32.1387, 1000, 4227072, 4227072, 125.433, 13.1322, 157.219, 96.75, 31, 3.25759, 39, 24, 0.511616, 0.356305, 3.02766, 0.0798114
16, 32.427, 1000, 4227072, 4227072, 124.318, 9.2403, 141.094, 100.781, 30, 2.29217, 35, 25, 0.514664, 0.444566, 2.97946, 0.0754499
16, 31.8922, 1000, 4227072, 4227072, 126.402, 14.0246, 153.188, 100.781, 31, 3.47897, 38, 25, 0.506294, 0.344739, 2.46009, 0.0999528
16, 32.1179, 1000, 4227072, 4227072, 125.514, 12.6025, 149.156, 80.625, 31, 3.12621, 37, 20, 0.511004, 0.508983, 6.14269, 0.0733057
16, 31.9532, 1000, 4227072, 4227072, 126.161, 10.2189, 145.125, 92.7188, 31, 2.53492, 36, 23, 0.507056, 0.34161, 2.11749, 0.0866926
16, 32.15, 1000, 4227072, 4227072, 125.389, 11.7356, 145.125, 88.6875, 31, 2.91115, 36, 22, 0.509787, 0.467163, 3.42969, 0.0719467
16, 32.1673, 1000, 4227072, 4227072, 125.321, 14.9609, 149.156, 88.6875, 31, 3.71122, 37, 22, 0.512124, 0.349949, 2.60144, 0.0754184

