Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 105.725, 1000, 4227072, 4227072, 38.1297, 8.86256, 52.4062, 0, 9, 2.21847, 13, 0, 0.105693, 0.0713306, 1.21515, 0.0564089
1, 101.698, 1000, 4227072, 4227072, 39.6395, 4.99331, 52.4062, 24.1875, 9, 1.23865, 13, 6, 0.101666, 0.0333097, 0.450583, 0.0544782
1, 100.73, 1000, 4227072, 4227072, 40.0202, 3.74939, 48.375, 32.25, 9, 0.930081, 12, 8, 0.100702, 0.0322672, 0.410444, 0.0532671
1, 100.52, 1000, 4227072, 4227072, 40.104, 4.59722, 48.375, 28.2188, 9, 1.1404, 12, 7, 0.100488, 0.0331295, 0.343009, 0.0516546
1, 101.763, 1000, 4227072, 4227072, 39.6142, 5.22725, 52.4062, 28.2188, 9, 1.29668, 13, 7, 0.101733, 0.0371781, 0.405689, 0.0557945
1, 103.218, 1000, 4227072, 4227072, 39.0556, 4.22534, 48.375, 28.2188, 9, 1.04815, 12, 7, 0.103189, 0.034012, 0.377251, 0.0529536
1, 99.587, 1000, 4227072, 4227072, 40.4797, 3.98654, 52.4062, 32.25, 10, 0.98891, 13, 8, 0.0995562, 0.0308373, 0.284856, 0.0517046
1, 101.564, 1000, 4227072, 4227072, 39.6918, 4.34438, 48.375, 24.1875, 9, 1.07768, 12, 6, 0.101533, 0.0361969, 0.450383, 0.0539634
1, 108.406, 1000, 4227072, 4227072, 37.1864, 4.28096, 48.375, 24.1875, 9, 1.06194, 12, 6, 0.108375, 0.0362669, 0.419375, 0.0523728
1, 102.525, 1000, 4227072, 4227072, 39.3197, 4.76093, 48.375, 20.1562, 9, 1.18101, 12, 5, 0.102493, 0.033115, 0.3575, 0.0536808
2, 65.8914, 1000, 4227072, 4227072, 61.1803, 7.19342, 76.5938, 48.375, 15, 1.78441, 19, 12, 0.131604, 0.0570058, 0.505303, 0.0552988
2, 67.7232, 1000, 4227072, 4227072, 59.5254, 8.47408, 76.5938, 40.3125, 14, 2.1021, 19, 10, 0.135334, 0.0572606, 0.375666, 0.0546183
2, 68.6103, 1000, 4227072, 4227072, 58.7558, 6.87318, 72.5625, 44.3438, 14, 1.70497, 18, 11, 0.137166, 0.0580663, 0.468056, 0.0550523
2, 68.2561, 1000, 4227072, 4227072, 59.0607, 7.16761, 72.5625, 40.3125, 14, 1.77801, 18, 10, 0.136411, 0.0562967, 0.383736, 0.0556947
2, 72.3656, 1000, 4227072, 4227072, 55.7067, 6.3807, 68.5312, 28.2188, 13, 1.58281, 17, 7, 0.144651, 0.053083, 0.360372, 0.0572065
2, 70.5244, 1000, 4227072, 4227072, 57.1611, 7.8545, 76.5938, 44.3438, 14, 1.9484, 19, 11, 0.140955, 0.0578864, 0.412564, 0.056796
2, 66.3089, 1000, 4227072, 4227072, 60.795, 7.10228, 76.5938, 44.3438, 15, 1.76181, 19, 11, 0.132566, 0.054564, 0.354675, 0.0567308
2, 66.6915, 1000, 4227072, 4227072, 60.4463, 5.80671, 72.5625, 44.3438, 14, 1.44043, 18, 11, 0.133322, 0.0556354, 0.363555, 0.0577871
2, 67.1396, 1000, 4227072, 4227072, 60.0428, 5.22898, 72.5625, 48.375, 14, 1.29711, 18, 12, 0.134212, 0.0580017, 0.507889, 0.0568514
2, 67.3001, 1000, 4227072, 4227072, 59.8996, 7.36851, 72.5625, 44.3438, 14, 1.82785, 18, 11, 0.134505, 0.0562644, 0.378224, 0.0552475
4, 47.7247, 1000, 4227072, 4227072, 84.4688, 7.9725, 104.812, 68.5312, 20, 1.97767, 26, 17, 0.190357, 0.0883385, 0.628785, 0.0544965
4, 49.1433, 1000, 4227072, 4227072, 82.0306, 7.11175, 104.812, 72.5625, 20, 1.76416, 26, 18, 0.195984, 0.097428, 1.13734, 0.0640325
4, 48.8384, 1000, 4227072, 4227072, 82.5427, 9.14112, 100.781, 60.4688, 20, 2.26756, 25, 15, 0.195089, 0.088065, 0.574057, 0.0547815
4, 48.1821, 1000, 4227072, 4227072, 83.667, 9.52661, 100.781, 64.5, 20, 2.36319, 25, 16, 0.19227, 0.0945219, 1.2122, 0.0606525
4, 48.3633, 1000, 4227072, 4227072, 83.3536, 9.40216, 108.844, 60.4688, 20, 2.33232, 27, 15, 0.193226, 0.0901499, 0.605836, 0.0608599
4, 48.1111, 1000, 4227072, 4227072, 83.7905, 9.06992, 112.875, 68.5312, 20, 2.2499, 28, 17, 0.192033, 0.085026, 0.540366, 0.0579513
4, 48.6372, 1000, 4227072, 4227072, 82.884, 8.51062, 100.781, 68.5312, 20, 2.11116, 25, 17, 0.194368, 0.0870237, 0.596534, 0.0577402
4, 48.0642, 1000, 4227072, 4227072, 83.8721, 9.86246, 108.844, 64.5, 20, 2.4465, 27, 16, 0.191631, 0.085289, 0.553492, 0.0538031
4, 47.5726, 1000, 4227072, 4227072, 84.7389, 7.56318, 104.812, 68.5312, 21, 1.87614, 26, 17, 0.190048, 0.0820238, 0.504301, 0.0606018
4, 46.7373, 1000, 4227072, 4227072, 86.2533, 8.68186, 104.812, 68.5312, 21, 2.15364, 26, 17, 0.18668, 0.0837709, 0.488192, 0.058232
8, 37.5583, 1000, 4227072, 4227072, 107.333, 10.6003, 129, 88.6875, 26, 2.62953, 32, 22, 0.299871, 0.13398, 0.996196, 0.068363
8, 37.1397, 1000, 4227072, 4227072, 108.543, 12.0381, 133.031, 76.5938, 26, 2.9862, 33, 19, 0.296626, 0.130353, 0.806622, 0.0626186
8, 37.1585, 1000, 4227072, 4227072, 108.488, 9.91027, 129, 84.6562, 26, 2.45836, 32, 21, 0.296165, 0.129851, 0.867392, 0.0647286
8, 37.072, 1000, 4227072, 4227072, 108.741, 9.33464, 120.938, 84.6562, 26, 2.31557, 30, 21, 0.296402, 0.145145, 1.2931, 0.0647529
8, 36.9244, 1000, 4227072, 4227072, 109.176, 10.2053, 133.031, 84.6562, 27, 2.53155, 33, 21, 0.294072, 0.133235, 0.83393, 0.0619698
8, 36.9481, 1000, 4227072, 4227072, 109.106, 9.7397, 129, 88.6875, 27, 2.41605, 32, 22, 0.293875, 0.13647, 0.736214, 0.0665042
8, 36.6809, 1000, 4227072, 4227072, 109.9, 8.91053, 124.969, 88.6875, 27, 2.21037, 31, 22, 0.292342, 0.128295, 0.760424, 0.0733951
8, 36.6337, 1000, 4227072, 4227072, 110.042, 9.98556, 133.031, 92.7188, 27, 2.47704, 33, 23, 0.292699, 0.140824, 0.855874, 0.0553629
8, 36.2424, 1000, 4227072, 4227072, 111.23, 13.0534, 137.062, 80.625, 27, 3.23804, 34, 20, 0.289389, 0.135335, 0.780937, 0.0592863
8, 36.2543, 1000, 4227072, 4227072, 111.194, 13.2534, 133.031, 88.6875, 27, 3.28766, 33, 22, 0.287784, 0.134579, 0.84793, 0.0662233
16, 32.14, 1000, 4227072, 4227072, 125.428, 15.0874, 153.188, 84.6562, 31, 3.7426, 38, 21, 0.510188, 0.323785, 2.05622, 0.0933781
16, 32.2657, 1000, 4227072, 4227072, 124.939, 15.3399, 153.188, 96.75, 30, 3.80524, 38, 24, 0.514306, 0.355083, 2.55168, 0.084984
16, 32.2708, 1000, 4227072, 4227072, 124.919, 14.8421, 157.219, 96.75, 30, 3.68177, 39, 24, 0.513639, 0.356053, 2.32672, 0.0932301
16, 31.8914, 1000, 4227072, 4227072, 126.405, 10.3851, 149.156, 100.781, 31, 2.57615, 37, 25, 0.506196, 0.322787, 2.10109, 0.101694
16, 32.7571, 1000, 4227072, 4227072, 123.065, 16.6562, 165.281, 96.75, 30, 4.13178, 41, 24, 0.521693, 0.335727, 2.01822, 0.0820699
16, 32.7342, 1000, 4227072, 4227072, 123.151, 14.0716, 149.156, 92.7188, 30, 3.49063, 37, 23, 0.518215, 0.36675, 2.72992, 0.0888803
16, 32.224, 1000, 4227072, 4227072, 125.101, 13.6412, 149.156, 96.75, 31, 3.38387, 37, 24, 0.510615, 0.372263, 2.48917, 0.0886548
16, 32.6137, 1000, 4227072, 4227072, 123.606, 12.0714, 153.188, 104.812, 30, 2.99445, 38, 26, 0.51793, 0.327042, 1.8737, 0.105861
16, 32.2999, 1000, 4227072, 4227072, 124.807, 10.3278, 145.125, 108.844, 30, 2.56193, 36, 27, 0.515002, 0.363191, 2.32789, 0.0861188
16, 31.8214, 1000, 4227072, 4227072, 126.684, 11.3914, 153.188, 104.812, 31, 2.82576, 38, 26, 0.501879, 0.322975, 2.24054, 0.084241
