Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 78.3029, 1000, 4227072, 4227072, 51.4828, 12, 4.53109, 20, 0, 0.07743, 1.18431, 0.0203882
1, 71.5901, 1000, 4227072, 4227072, 56.3102, 13, 2.76657, 21, 6, 0.0707901, 0.314809, 0.0203083
1, 68.6433, 1000, 4227072, 4227072, 58.7275, 14, 3.25217, 21, 7, 0.0679082, 0.305561, 0.0206176
1, 66.6658, 1000, 4227072, 4227072, 60.4695, 15, 3.34403, 23, 7, 0.0658049, 0.309352, 0.0208466
1, 67.3643, 1000, 4227072, 4227072, 59.8425, 14, 2.76471, 21, 8, 0.0665567, 0.309736, 0.0213068
1, 68.722, 1000, 4227072, 4227072, 58.6602, 14, 3.23457, 21, 5, 0.0679046, 0.308966, 0.0208283
1, 65.1188, 1000, 4227072, 4227072, 61.9061, 15, 2.83632, 21, 8, 0.0642502, 0.300016, 0.0207435
1, 67.3365, 1000, 4227072, 4227072, 59.8673, 14, 2.76282, 21, 9, 0.066528, 0.299758, 0.0209197
1, 68.0109, 1000, 4227072, 4227072, 59.2736, 14, 2.78621, 21, 7, 0.0672459, 0.302234, 0.0211855
1, 69.3446, 1000, 4227072, 4227072, 58.1336, 14, 3.34453, 23, 7, 0.0685192, 0.305727, 0.0210351
2, 49.4979, 1000, 4227072, 4227072, 81.4428, 20, 3.2936, 29, 14, 0.0981496, 0.678481, 0.0213726
2, 49.4021, 1000, 4227072, 4227072, 81.6008, 20, 2.90818, 26, 14, 0.0980281, 0.391365, 0.0213033
2, 47.9453, 1000, 4227072, 4227072, 84.0802, 20, 2.97772, 27, 13, 0.0950343, 0.709328, 0.0211241
2, 49.8533, 1000, 4227072, 4227072, 80.8622, 20, 3.37659, 25, 11, 0.0986252, 0.631646, 0.0224166
2, 48.0395, 1000, 4227072, 4227072, 83.9153, 20, 3.162, 28, 14, 0.0952585, 0.508243, 0.021496
2, 48.4034, 1000, 4227072, 4227072, 83.2845, 20, 2.86942, 25, 13, 0.0958189, 0.73116, 0.0218744
2, 47.9159, 1000, 4227072, 4227072, 84.1318, 20, 2.78924, 26, 15, 0.0949663, 0.6402, 0.0211376
2, 47.6973, 1000, 4227072, 4227072, 84.5173, 20, 3.453, 28, 7, 0.0945295, 0.562845, 0.0210678
2, 49.4077, 1000, 4227072, 4227072, 81.5915, 20, 2.82256, 24, 12, 0.0977416, 0.639187, 0.0219146
2, 51.141, 1000, 4227072, 4227072, 78.8262, 19, 3.18317, 25, 11, 0.101415, 1.12086, 0.0216945
4, 39.7265, 1000, 4227072, 4227072, 101.475, 25, 3.3653, 31, 18, 0.157726, 1.17888, 0.0218467
4, 38.267, 1000, 4227072, 4227072, 105.345, 26, 2.10753, 30, 21, 0.151543, 1.37234, 0.0252932
4, 37.7632, 1000, 4227072, 4227072, 106.751, 26, 2.12909, 32, 21, 0.149858, 1.02914, 0.0220863
4, 39.1184, 1000, 4227072, 4227072, 103.053, 25, 2.44646, 29, 21, 0.155295, 0.700658, 0.0213517
4, 38.2583, 1000, 4227072, 4227072, 105.369, 26, 2.92193, 33, 19, 0.152115, 0.671159, 0.0224827
4, 38.0952, 1000, 4227072, 4227072, 105.82, 26, 2.64508, 32, 20, 0.151051, 1.32471, 0.0215138
4, 38.3785, 1000, 4227072, 4227072, 105.039, 26, 2.7624, 30, 16, 0.15189, 1.11211, 0.0226157
4, 39.4921, 1000, 4227072, 4227072, 102.077, 25, 2.0962, 30, 22, 0.155715, 0.865108, 0.0227403
4, 38.8292, 1000, 4227072, 4227072, 103.82, 25, 2.2881, 30, 22, 0.154026, 0.814192, 0.0207703
4, 38.6939, 1000, 4227072, 4227072, 104.183, 25, 2.12484, 29, 21, 0.153434, 1.21096, 0.0218325
8, 33.2929, 1000, 4227072, 4227072, 121.085, 30, 1.9193, 34, 26, 0.264013, 1.27671, 0.0268177
8, 34.5841, 1000, 4227072, 4227072, 116.564, 28, 1.82183, 32, 25, 0.272684, 1.25556, 0.0288153
8, 34.164, 1000, 4227072, 4227072, 117.997, 29, 2.46255, 35, 25, 0.271109, 1.67109, 0.0310864
8, 34.6333, 1000, 4227072, 4227072, 116.398, 28, 1.95059, 32, 23, 0.274625, 1.55275, 0.0295026
8, 33.3137, 1000, 4227072, 4227072, 121.009, 30, 2.39792, 35, 25, 0.264227, 1.14326, 0.0271249
8, 33.5016, 1000, 4227072, 4227072, 120.33, 29, 2.17597, 35, 25, 0.265618, 1.50121, 0.0263243
8, 34.3914, 1000, 4227072, 4227072, 117.217, 29, 2.24204, 35, 26, 0.272977, 1.40206, 0.0245497
8, 33.408, 1000, 4227072, 4227072, 120.667, 29, 2.59808, 35, 25, 0.26481, 1.89148, 0.0224675
8, 33.8986, 1000, 4227072, 4227072, 118.921, 29, 2.70451, 37, 25, 0.269601, 1.6591, 0.0281664
8, 34.3145, 1000, 4227072, 4227072, 117.479, 29, 2.53619, 35, 25, 0.271799, 1.53095, 0.0227927
16, 32.0127, 1000, 4227072, 4227072, 125.926, 31, 2.54555, 37, 26, 0.50718, 2.47285, 0.03805
16, 32.4745, 1000, 4227072, 4227072, 124.136, 30, 2.55267, 36, 25, 0.505157, 3.84218, 0.0265635
16, 31.8248, 1000, 4227072, 4227072, 126.67, 31, 2.30707, 37, 27, 0.488432, 4.37322, 0.0327361
16, 32.2872, 1000, 4227072, 4227072, 124.856, 30, 2.28512, 36, 25, 0.509351, 3.476, 0.043251
16, 32.8922, 1000, 4227072, 4227072, 122.559, 30, 2.62048, 35, 23, 0.517623, 3.58512, 0.0326706
16, 32.6289, 1000, 4227072, 4227072, 123.549, 30, 1.85975, 34, 26, 0.512485, 3.0465, 0.0291474
16, 32.5036, 1000, 4227072, 4227072, 124.025, 30, 2.59575, 35, 24, 0.513118, 2.93996, 0.0300861
16, 32.6636, 1000, 4227072, 4227072, 123.417, 30, 3.15142, 37, 21, 0.511793, 3.39216, 0.0314366
16, 32.8184, 1000, 4227072, 4227072, 122.835, 30, 2.57704, 37, 25, 0.514799, 3.20175, 0.035928
16, 32.5342, 1000, 4227072, 4227072, 123.908, 30, 2.54931, 35, 25, 0.506759, 2.91865, 0.0267262
