Thread,Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1,197.948, 1000, 4194304, 4194304, 20.2073, 4.78594, 28, 0, 5, 1.19648, 7, 0, 0.197925, 0.0988104, 1.42307, 0.141613
2,206.051, 2000, 4194304, 4194304, 38.8253, 3.6739, 48, 28, 9, 0.918474, 12, 7, 0.205976, 0.0470517, 0.692088, 0.143237
4,268.89, 4000, 4194304, 4194304, 59.5038, 5.25563, 72, 40, 14, 1.31391, 18, 10, 0.268724, 0.0760746, 0.915588, 0.145662
8,435.335, 8000, 4194304, 4194304, 73.5066, 6.70695, 92, 52, 18, 1.67674, 23, 13, 0.43511, 0.135016, 1.41822, 0.154513
16,831.541, 16000, 4194304, 4194304, 76.9656, 8.45786, 104, 32, 19, 2.11446, 26, 8, 0.830985, 0.429324, 3.68492, 0.188464
