Thread,Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1,169.545, 1000, 4194304, 4194304, 23.5926, 2.26953, 28, 16, 5, 0.567381, 7, 4, 0.169519, 0.0276165, 0.402117, 0.130574
2,95.8656, 1000, 4194304, 4194304, 41.7251, 3.98519, 52, 32, 10, 0.996298, 13, 8, 0.191566, 0.0470398, 0.483056, 0.130176
4,64.3655, 1000, 4194304, 4194304, 62.1451, 5.74456, 76, 44, 15, 1.43614, 19, 11, 0.257144, 0.0718113, 0.585668, 0.133552
8,53.6817, 1000, 4194304, 4194304, 74.5132, 8.13386, 96, 52, 18, 2.03346, 24, 13, 0.428408, 0.136287, 0.996223, 0.134902
16,52.0522, 1000, 4194304, 4194304, 76.846, 10.1235, 100, 36, 19, 2.53088, 25, 9, 0.827763, 0.436353, 3.56308, 0.206742
