Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 69.8208, 1000, 4227072, 4227072, 57.7371, 14, 3.7263, 20, 1, 0.0690501, 0.820094, 0.0215486
1, 61.4877, 1000, 4227072, 4227072, 65.5619, 16, 2.31413, 20, 9, 0.0606755, 0.306758, 0.0209458
1, 59.8411, 1000, 4227072, 4227072, 67.3659, 16, 2.51924, 22, 9, 0.059016, 0.270772, 0.0204871
1, 57.2474, 1000, 4227072, 4227072, 70.4181, 17, 1.97414, 22, 12, 0.0564873, 0.260212, 0.0210115
1, 57.4678, 1000, 4227072, 4227072, 70.148, 17, 2.34414, 21, 10, 0.0566842, 0.271022, 0.0207332
1, 59.0523, 1000, 4227072, 4227072, 68.2658, 16, 2.09979, 21, 13, 0.058253, 0.270859, 0.0205325
1, 58.5815, 1000, 4227072, 4227072, 68.8143, 17, 2.06408, 20, 10, 0.0578155, 0.302457, 0.0210339
1, 57.4548, 1000, 4227072, 4227072, 70.1638, 17, 1.87902, 20, 13, 0.0567438, 0.303782, 0.0206941
1, 59.8917, 1000, 4227072, 4227072, 67.309, 16, 2.43417, 21, 11, 0.0591444, 0.271148, 0.021195
1, 56.426, 1000, 4227072, 4227072, 71.4431, 17, 1.69184, 21, 14, 0.0556371, 0.266802, 0.0204433
2, 48.5721, 1000, 4227072, 4227072, 82.9952, 20, 2.60855, 25, 14, 0.0962508, 0.909731, 0.0210355
2, 47.997, 1000, 4227072, 4227072, 83.9897, 20, 2.44892, 24, 13, 0.0950601, 0.695535, 0.0213065
2, 47.2226, 1000, 4227072, 4227072, 85.367, 21, 3.5972, 26, 5, 0.0936427, 1.27761, 0.0215758
2, 47.7279, 1000, 4227072, 4227072, 84.4632, 20, 2.39931, 27, 13, 0.0946994, 1.14665, 0.0212051
2, 46.4052, 1000, 4227072, 4227072, 86.8706, 21, 2.3353, 26, 16, 0.0919326, 0.494325, 0.0212897
2, 47.7121, 1000, 4227072, 4227072, 84.4911, 20, 2.72651, 25, 13, 0.0946006, 0.500133, 0.0209598
2, 48.183, 1000, 4227072, 4227072, 83.6653, 20, 2.42978, 24, 12, 0.0954756, 1.16384, 0.0208641
2, 47.958, 1000, 4227072, 4227072, 84.0579, 20, 2.96511, 25, 12, 0.0949684, 1.10782, 0.0208498
2, 46.2168, 1000, 4227072, 4227072, 87.2249, 21, 2.46051, 27, 13, 0.0915235, 0.525179, 0.0236744
2, 46.6265, 1000, 4227072, 4227072, 86.4583, 21, 2.45619, 26, 14, 0.0921664, 0.742187, 0.0211681
4, 39.3324, 1000, 4227072, 4227072, 102.492, 25, 2.64422, 32, 18, 0.15618, 1.39013, 0.0256995
4, 38.6926, 1000, 4227072, 4227072, 104.187, 25, 1.61364, 29, 22, 0.153401, 0.950438, 0.0246125
