Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.1944, 1454, 1048576, 1048576, 48.1547, 3.32528, 54, 41, 48, 3.32528, 54, 41, 0.0827143, 0.0395255, 0.376725, 0.0435918
30.0765, 1448, 1048576, 1048576, 48.144, 2.92119, 53, 40, 48, 2.92119, 53, 40, 0.0829494, 0.0410817, 0.360792, 0.0438273
30.0658, 1437, 1048576, 1048576, 47.7951, 4.16623, 55, 40, 47, 4.16623, 55, 40, 0.0835968, 0.0404631, 0.414697, 0.0416844
30.0982, 1436, 1048576, 1048576, 47.7106, 3.22366, 54, 40, 47, 3.22366, 54, 40, 0.083659, 0.0402795, 0.378366, 0.0428463
30.0532, 1428, 1048576, 1048576, 47.5157, 3.42137, 55, 42, 47, 3.42137, 55, 42, 0.0840958, 0.0418639, 0.352117, 0.0449087
30.1129, 818, 2097152, 2097152, 54.3288, 2.95872, 60, 48, 27, 1.47936, 30, 24, 0.14696, 0.0458694, 0.368034, 0.0839302
30.1395, 828, 2097152, 2097152, 54.9445, 3.18329, 60, 50, 27, 1.59164, 30, 25, 0.145177, 0.0441765, 0.386947, 0.0855205
30.0524, 811, 2097152, 2097152, 53.9723, 3.58092, 60, 48, 26, 1.79046, 30, 24, 0.147965, 0.0473643, 0.429459, 0.0852564
30.1008, 814, 2097152, 2097152, 54.085, 3.63887, 62, 46, 27, 1.81944, 31, 23, 0.147629, 0.0482665, 0.462394, 0.0837539
30.0544, 819, 2097152, 2097152, 54.5012, 4.67077, 64, 44, 27, 2.33538, 32, 22, 0.146566, 0.0525769, 0.50489, 0.0818402
30.233, 819, 2097152, 2097152, 54.1793, 3.11097, 60, 48, 27, 1.55549, 30, 24, 0.14681, 0.0492031, 0.383368, 0.0857367
30.1163, 822, 2097152, 2097152, 54.5883, 3.71143, 62, 44, 27, 1.85571, 31, 22, 0.146188, 0.0479, 0.690286, 0.0838522
30.0959, 810, 2097152, 2097152, 53.8279, 4.22581, 60, 38, 26, 2.11291, 30, 19, 0.148414, 0.0517807, 0.604532, 0.0836838
30.1175, 796, 2097152, 2097152, 52.8596, 4.8023, 60, 36, 26, 2.40115, 30, 18, 0.151109, 0.0558708, 0.473372, 0.0841317
30.183, 574, 3145728, 3145728, 57.052, 4.09373, 63, 45, 19, 1.36458, 21, 15, 0.209789, 0.0605282, 0.525144, 0.118752
30.1884, 569, 3145728, 3145728, 56.5449, 5.17121, 66, 45, 18, 1.72374, 22, 15, 0.211787, 0.0625831, 0.603153, 0.121444
30.0469, 580, 3145728, 3145728, 57.9094, 4.75322, 66, 48, 19, 1.58441, 22, 16, 0.206942, 0.0579302, 0.521675, 0.119743
30.1738, 575, 3145728, 3145728, 57.1688, 4.34979, 66, 48, 19, 1.44993, 22, 16, 0.20922, 0.0542536, 0.481466, 0.119367
30.18, 571, 3145728, 3145728, 56.7595, 5.59032, 66, 42, 18, 1.86344, 22, 14, 0.210821, 0.0593657, 0.532981, 0.116436
30.2046, 577, 3145728, 3145728, 57.3091, 3.64029, 66, 51, 19, 1.21343, 22, 17, 0.208552, 0.0584345, 0.49354, 0.118025
30.3394, 574, 3145728, 3145728, 56.7578, 4.72703, 66, 45, 18, 1.57568, 22, 15, 0.210151, 0.0656936, 0.606455, 0.116491
30.1685, 573, 3145728, 3145728, 56.98, 4.27785, 63, 45, 18, 1.42595, 21, 15, 0.210198, 0.0607893, 0.516557, 0.116409
30.1623, 563, 3145728, 3145728, 55.997, 4.95044, 69, 48, 18, 1.65015, 23, 16, 0.213585, 0.0626877, 0.546338, 0.118616
30.486, 439, 4194304, 4194304, 57.6001, 6.28079, 72, 44, 14, 1.5702, 18, 11, 0.275492, 0.0808983, 0.660311, 0.149762
30.3366, 446, 4194304, 4194304, 58.8069, 6.20863, 72, 44, 14, 1.55216, 18, 11, 0.270686, 0.0725907, 0.579535, 0.147406
30.3712, 443, 4194304, 4194304, 58.3447, 5.3905, 72, 44, 14, 1.34762, 18, 11, 0.27199, 0.0745356, 0.68518, 0.149942
30.1497, 441, 4194304, 4194304, 58.508, 5.62588, 68, 44, 14, 1.40647, 17, 11, 0.272486, 0.0724683, 0.602174, 0.147637
30.127, 443, 4194304, 4194304, 58.8177, 7.68219, 72, 40, 14, 1.92055, 18, 10, 0.271387, 0.076931, 0.648495, 0.149615
30.1653, 447, 4194304, 4194304, 59.2734, 5.72311, 68, 44, 14, 1.43078, 17, 11, 0.268893, 0.0721038, 0.598107, 0.152167
30.2255, 451, 4194304, 4194304, 59.6847, 5.49357, 68, 48, 14, 1.37339, 17, 12, 0.267314, 0.065198, 0.555988, 0.149615
30.1402, 444, 4194304, 4194304, 58.9245, 3.83571, 64, 52, 14, 0.958927, 16, 13, 0.270887, 0.0724582, 0.647905, 0.151241
30.3037, 442, 4194304, 4194304, 58.3427, 5.81081, 72, 48, 14, 1.4527, 18, 12, 0.273296, 0.0747098, 0.58866, 0.146041
30.1768, 1988, 1048576, 1048576, 65.8785, 3.4641, 73, 58, 65, 3.4641, 73, 58, 0.120999, 0.0594729, 0.529824, 0.0449685
30.0849, 1974, 1048576, 1048576, 65.6143, 3.72873, 73, 60, 65, 3.72873, 73, 60, 0.121668, 0.0578904, 0.491001, 0.0461366
30.1928, 2005, 1048576, 1048576, 66.4065, 3.79292, 73, 59, 66, 3.79292, 73, 59, 0.120012, 0.0600644, 0.599035, 0.0464726
30.1205, 1969, 1048576, 1048576, 65.3707, 3.43896, 71, 58, 65, 3.43896, 71, 58, 0.1222, 0.0636566, 0.591324, 0.0460538
30.0938, 1971, 1048576, 1048576, 65.4953, 3.49071, 72, 59, 65, 3.49071, 72, 59, 0.121887, 0.0626699, 0.510002, 0.048672
30.119, 1957, 1048576, 1048576, 64.9756, 4.53708, 73, 52, 64, 4.53708, 73, 52, 0.122889, 0.0623099, 0.550739, 0.0461408
30.0822, 2021, 1048576, 1048576, 67.1826, 4.46236, 75, 57, 67, 4.46236, 75, 57, 0.118892, 0.0578383, 0.574625, 0.0421311
30.1514, 1961, 1048576, 1048576, 65.0385, 3.90711, 72, 55, 65, 3.90711, 72, 55, 0.122589, 0.0602844, 0.588241, 0.046789
30.2212, 2011, 1048576, 1048576, 66.5427, 3.35984, 72, 55, 66, 3.35984, 72, 55, 0.119799, 0.0568735, 0.493562, 0.0461712
30.1256, 1065, 2097152, 2097152, 70.7039, 5.45662, 80, 54, 35, 2.72831, 40, 27, 0.225436, 0.0767882, 0.572843, 0.0916153
30.3468, 1058, 2097152, 2097152, 69.7274, 3.93043, 78, 60, 34, 1.96521, 39, 30, 0.227721, 0.0842018, 0.726039, 0.0904581
30.3464, 1064, 2097152, 2097152, 70.1237, 3.90932, 76, 62, 35, 1.95466, 38, 31, 0.22651, 0.0822606, 0.863958, 0.0910492
30.1734, 1069, 2097152, 2097152, 70.8571, 4.71193, 80, 60, 35, 2.35597, 40, 30, 0.22498, 0.0759341, 0.653462, 0.0881182
30.2996, 1061, 2097152, 2097152, 70.034, 3.72688, 78, 60, 35, 1.86344, 39, 30, 0.227034, 0.0755355, 0.85089, 0.0858286
30.2981, 1057, 2097152, 2097152, 69.7734, 5.051, 80, 52, 34, 2.5255, 40, 26, 0.228098, 0.0768703, 0.555723, 0.0922318
30.1546, 1069, 2097152, 2097152, 70.9014, 4.35019, 76, 60, 35, 2.17509, 38, 30, 0.224725, 0.078982, 0.897697, 0.0994057
30.1605, 1081, 2097152, 2097152, 71.6833, 3.95434, 80, 60, 35, 1.97717, 40, 30, 0.222494, 0.07067, 0.627241, 0.0963517
30.1366, 1088, 2097152, 2097152, 72.2046, 4.78503, 80, 58, 36, 2.39252, 40, 29, 0.221048, 0.0719826, 0.873017, 0.0902553
30.2162, 739, 3145728, 3145728, 73.3713, 7.19842, 87, 54, 24, 2.39947, 29, 18, 0.325852, 0.0993856, 0.891108, 0.142075
