Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0325, 1477, 1048576, 1048576, 49.18, 2.83269, 54, 43, 49, 2.83269, 54, 43, 0.081267, 0.0411633, 0.464968, 0.0406917
30.0882, 1474, 1048576, 1048576, 48.9893, 3.19482, 55, 42, 48, 3.19482, 55, 42, 0.0815556, 0.038845, 0.430035, 0.0401351
30.1261, 1447, 1048576, 1048576, 48.0314, 4.02878, 55, 41, 48, 4.02878, 55, 41, 0.0831298, 0.0417501, 0.347153, 0.0408622
30.1817, 1460, 1048576, 1048576, 48.3737, 3.76676, 55, 39, 48, 3.76676, 55, 39, 0.0824351, 0.0397381, 0.372134, 0.0411109
30.0673, 1484, 1048576, 1048576, 49.356, 3.62304, 56, 41, 49, 3.62304, 56, 41, 0.0809429, 0.0393058, 0.34306, 0.0387507
30.087, 832, 2097152, 2097152, 55.3063, 3.22062, 62, 50, 27, 1.61031, 31, 25, 0.144455, 0.0499537, 0.424159, 0.0722946
30.0805, 838, 2097152, 2097152, 55.7172, 4.34384, 62, 46, 27, 2.17192, 31, 23, 0.143418, 0.0486086, 0.415138, 0.0805975
30.2158, 835, 2097152, 2097152, 55.2691, 3.20129, 62, 48, 27, 1.60065, 31, 24, 0.144406, 0.0493965, 0.455402, 0.0756981
30.2348, 811, 2097152, 2097152, 53.6469, 5.50694, 62, 38, 26, 2.75347, 31, 19, 0.148484, 0.0753611, 1.1701, 0.0767745
30.126, 841, 2097152, 2097152, 55.8322, 4.76626, 64, 40, 27, 2.38313, 32, 20, 0.143145, 0.0490316, 0.433118, 0.0745737
30.1199, 832, 2097152, 2097152, 55.2459, 4.68257, 62, 42, 27, 2.34128, 31, 21, 0.144536, 0.0560289, 0.5843, 0.0752967
30.1375, 831, 2097152, 2097152, 55.1472, 3.62685, 60, 48, 27, 1.81342, 30, 24, 0.144865, 0.0507344, 0.436022, 0.0746537
30.3088, 823, 2097152, 2097152, 54.3076, 4.58333, 64, 46, 27, 2.29166, 32, 23, 0.146667, 0.0584162, 0.59577, 0.0753225
30.0878, 848, 2097152, 2097152, 56.3683, 3.77773, 66, 50, 28, 1.88887, 33, 25, 0.141711, 0.0454022, 0.438641, 0.0744818
30.0618, 598, 3145728, 3145728, 59.6771, 3.81105, 66, 51, 19, 1.27035, 22, 17, 0.200905, 0.0577791, 0.524214, 0.108459
30.1395, 595, 3145728, 3145728, 59.2247, 5.05385, 72, 51, 19, 1.68462, 24, 17, 0.202455, 0.0614276, 0.534697, 0.106137
30.1292, 599, 3145728, 3145728, 59.6432, 4.39239, 66, 48, 19, 1.46413, 22, 16, 0.200879, 0.0589704, 0.460977, 0.105688
30.1088, 584, 3145728, 3145728, 58.189, 4.49022, 66, 48, 19, 1.49674, 22, 16, 0.205774, 0.061164, 0.460185, 0.103722
30.1713, 594, 3145728, 3145728, 59.0627, 5.06509, 66, 48, 19, 1.68836, 22, 16, 0.20267, 0.0562952, 0.475129, 0.112303
30.1262, 585, 3145728, 3145728, 58.2549, 5.48572, 66, 42, 19, 1.82857, 22, 14, 0.20565, 0.0640033, 0.59942, 0.106194
30.1049, 596, 3145728, 3145728, 59.3922, 3.49532, 66, 51, 19, 1.16511, 22, 17, 0.201665, 0.0609103, 0.54641, 0.109033
30.1534, 587, 3145728, 3145728, 58.4014, 3.6686, 66, 51, 19, 1.22287, 22, 17, 0.205212, 0.0639506, 0.520958, 0.107376
